The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
3.29,9.29,4.25,2.2,93.83,10,30.9,1,14.7
1.54,5.13,4.38,4.9,2.58,27.9,2.3,0.7,8.5
2.04,4.92,21,2.2,20.79,40.8,36.6,0.9,24.5
2.29,2.25,3.25,17,11.58,4.8,2.4,2.1,5.3
4.67,1.38,2.29,2.2,26.67,11.2,11,0.6,22
2.13,1.67,4.5,1.5,1.5,36.7,41.2,1.5,1.3
3.04,7,3.63,2.3,1.33,4.2,3.8,1.4,1.7
2.04,3.5,6.25,2.4,3.5,1.7,6,0.8,26.9
2.58,5,3.25,5.2,5,7.2,86.4,1.4,1.7
2,5.08,3.79,2.3,1.88,44.7,5.6,2.7,2.5
2.08,6.88,16.42,1.3,1.75,9,20.7,2.7,4.4
9.13,6.58,1.46,1.6,2,4.8,26.4,5,1.7
4.75,8.04,4.21,4.8,62.08,29.5,7.4,1.1,47.8
2.92,3.29,1.25,3,5.46,13.1,8,2.5,4.9
10.04,6.17,12.46,2.3,12.88,24.2,14.2,2.5,1.3
10.25,20.67,1.38,14.6,11.29,19.3,7.8,3.2,8.6
2.04,1.54,3.38,2.6,2.71,33.3,5.3,1.2,18.8
5.08,3.21,2.21,3.8,1.79,11,2.4,2.5,3.3
7.33,1.88,2.75,1.7,2.71,15.5,1.8,2.5,1.7
7.58,3.83,2.96,25.7,4.33,26.6,0.8,9.7,13.4
2,2.04,2.21,11.3,28.13,40.8,1.3,2.3,4.4
3.92,1.17,6,1.8,16.88,4.3,2.3,1.4,10.6
4.17,0.79,1.79,1.9,3.75,4.5,14.3,1.7,8.9
1.96,1.46,3.04,9.1,1.71,6.8,9.4,1.9,1.5
17.75,1.67,1.17,3,2.58,7.2,7,9.4,9.6
2.13,5.5,1.67,7.7,63.63,11.9,1.9,1.5,2.1
20.58,2.58,3.13,1,2.58,51.8,1.2,0.9,5.2
9.08,3.25,22,6.8,7.46,25.5,3.5,1,4.9
11.67,2.5,6.46,2,30,4.2,16.3,1.6,22.7
4.88,1.46,8.63,1.5,8.88,6.2,8.5,1.1,1.3
5.75,3.96,2.83,6.5,2.04,27.4,12.7,2.6,1
3.29,0.92,10.67,4.6,29,7.7,3.5,2.1,3.5
1.63,9.08,2.13,1.9,6.13,2.9,7,2,2.3
1.54,1.38,13.5,4,27.63,22.8,2,3.2,2.2
1.63,13.58,0.79,10,5.17,4,4,1.3,1.7
3.42,2.46,6.58,13.8,27.92,33.5,9.8,2.5,17.9
8.92,2.42,6.25,8.1,4.96,5.1,1.3,1.4,18.9
1.96,2.25,1.71,4,10.25,16.2,2,1.4,11.6
4.25,2.29,1.63,2.5,2.71,4.8,1.5,1.4,23
9.88,1.58,6.42,1.8,10.38,11.3,1.5,1.6,0.6
2.04,8.71,0.88,5.3,3.04,5.1,2.4,1.2,0.6
1.58,15.67,2.17,7,3.17,15,1.1,2,0.6
3,10.13,5.46,4.5,8.71,1.8,1,1.8,0.8
7.92,5.71,1.13,5.7,3.71,15.4,1.9,1.3,0.7
7,6.04,4.04,3,3.5,7,0.9,3.8,4.8
4.83,8.46,3.5,3,5,4,0.8,1.4,0.5
0.96,3.88,8.5,9.2,24.38,2.6,0.9,2.7,3.4
1.17,33.83,1.21,8.9,35.17,3,1,1.2,9.2
4.08,11.96,1.75,3,13.42,1.9,1.1,2.5,31.8
4.25,5.13,6.88,9.1,148.17,3.1,1.2,4.5,1.3
1.96,9.29,7.29,3,28.21,1.9,2.8,1.2,3.6
2.25,2.67,1.92,4.3,8.54,1.6,19.8,3.5,19.1
2.38,4.92,2.83,2.7,73.71,1.6,1,1.9,12.8
1.46,15.13,4.5,8,18.29,2.6,1,1.4,7.8
24.96,4.13,1,9.1,141.42,2,1,1,1.4
4.08,8.25,3.13,14.5,14.42,5.3,0.9,0.8,41.7
9.92,3.58,13.33,1.6,24.04,1.7,8.8,1.4,6.9
16.71,4.33,3.88,2.2,6,1.5,1.5,4.2,1
1.88,2.04,1.54,2.5,9.25,1.4,9.2,1.5,1.3
0.92,3.79,1.88,2.7,14.92,1.7,2.2,5.7,1.5
5.42,2.79,2.42,7.9,10.96,7.3,2.5,0.8,1.2
1.83,4.92,5.25,5.3,48.21,1.4,13.6,0.7,1.2
4.21,4,6.71,7.1,5.08,1,3.3,0.9,1.1
5.75,5.58,3.04,4.5,19.46,1.3,3.8,13.1,1.3
3,3.67,2.79,5.7,109.96,1.2,2.4,2.9,1.4
1.67,11.08,2.46,6.7,29.5,2,6.3,2.3,1
1.75,6.75,4.71,2.9,3,8.3,28.8,3.8,1.1
3.38,5.04,3.46,1.3,7.17,1,26.3,17.7,1.7
0.96,2.88,15.17,2.1,2.92,1.2,7,12.5,5.9
1.08,4.42,11.71,1.3,5.25,1.1,2,2.3,1.5
1.38,2.75,4.67,1.1,9,1,72,1.7,10.6
4.08,0.92,1.42,1.2,58.83,2.1,3.8,5.5,2.7
2,3.54,3.83,2.2,2.67,9.1,80.3,7.9,14.9
5.33,1.08,1.42,1.1,15.88,1.4,3.8,5.5,3.7
7.29,2.29,27.58,2.2,11.54,14,5.8,10.6,39.4
2.54,3,7.08,4.9,5.38,32,1.2,10.2,9.5
7.42,3.21,63.71,3.2,11.63,63.2,2,20.4,1.4
