The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
1.96,2.17,8.08,4,5.25,6.7,NA,5.9,3.7
4.21,1.33,28.08,3.1,1.38,6.7,NA,5.2,16.1
1.42,2.46,2.88,4.5,5.63,5.3,NA,13,1.7
2.88,3.08,2.38,4.1,2.42,5.3,NA,3.5,13
6.42,1.88,3.17,4.2,1.29,4.7,NA,25,5.7
1.58,2.83,4.63,4.6,1.79,4.8,NA,8,1.3
4.17,1.46,29.21,3.6,3,4.1,NA,3,2.1
1.63,1.08,10.29,1.9,2.04,4,NA,63.1,1.1
8.17,1.58,3.42,3.1,7.63,3.3,NA,11.6,2.9
4.04,1.29,6.25,1.9,1.08,3.3,NA,4.8,12
4.38,9.79,2.58,5.1,7.5,2.7,NA,6.5,1.3
3.04,9.13,2.5,2.8,3.46,2.6,NA,2.9,6.6
1.33,1.67,1.96,1.7,2.42,2,NA,29.3,3.6
3.46,3.92,1.42,7.5,3.25,2.1,NA,1.8,2.8
3.42,10.08,1.46,22.4,2.33,1.3,NA,4,2.2
12.38,6.88,1.88,3.2,11.79,2.4,NA,2.2,1.2
1.63,1.5,3.75,2.5,7.04,7.8,NA,3.8,3.5
2.42,2.54,8.38,8.8,2.21,1.7,NA,35.1,10
2.25,2.38,1.42,5.5,5.21,3,NA,4.9,3.7
2.29,1.42,19.71,6.9,5.96,3.7,NA,47.1,6.1
2.13,2.63,12.17,4.4,10.96,1.8,NA,3.4,7.2
0.96,2.21,3.17,6.1,13.08,2.3,NA,2.6,3.3
1.79,1.67,10.13,3.2,3.33,2.5,NA,2.1,17.7
2.58,1.88,10.63,2.3,3.83,2.5,NA,4.4,2.4
5.67,10.71,2.25,3.9,40.71,3.9,NA,13,4.5
2.33,1.46,4.13,1.9,6.25,3.8,NA,5.2,0.6
1.67,1.5,1.5,3.9,21.58,3.1,NA,3.8,0.8
3.17,7.33,6.54,2.2,2.71,3.1,NA,3.3,2.3
7.13,1.04,2.13,23.5,5.08,16,NA,39.4,12.6
2.71,4.13,25.13,16,4.08,3,NA,2.3,19.2
4.13,1.63,5.79,6.7,21.96,2.8,NA,40.7,1.9
4.88,1.21,1.83,9.5,8.13,4.6,NA,54.4,4.9
3.42,0.92,4.04,15,11.42,0.9,NA,2.7,4.2
3.17,1.42,9.71,39.9,11.21,3.5,NA,10.7,2.9
2.71,1.42,8.17,2.7,12.33,0.8,NA,2,2.2
0.88,9.33,15.88,6.4,5.42,1.6,NA,3.1,3.3
0.63,9.58,3.38,4.3,8.42,2.5,NA,5.9,8.4
0.54,9.58,38.46,9.7,54.63,3,NA,1.7,2.8
2.04,7.58,17.92,4.1,14.21,1.2,NA,3.1,0.8
0.75,8.21,52.5,19.7,65.63,0.7,NA,4.4,1
3.21,5.25,4.04,2.7,5.25,2.1,NA,4.7,1.7
1.08,4.79,1.71,4.4,10.25,1,NA,4.3,2.2
1.63,17,3.17,16.7,4.17,0.9,NA,13,1.8
2.17,7,1.17,51.2,5.08,1.2,NA,16.7,3.8
1.67,4.5,1.25,16,5.67,1.4,NA,2.6,10
6.21,2.83,5.92,10.5,9.21,0.8,NA,4.1,6.3
4.13,2.25,10.46,10.5,3.29,4.1,NA,4.2,7.3
6.04,3.33,5.71,6.2,2.63,8.8,NA,6.1,1.8
7.46,2.25,3.29,7.5,12.96,106.8,NA,2.8,7.6
2.46,4.63,6.33,11.2,7.08,40.3,NA,1.3,1.9
3.88,5.58,7.33,39.5,NA,NA,NA,2,6.9
3,2.58,2.21,5.3,NA,NA,NA,2.9,1.6
3.29,15.92,2.79,9.1,NA,NA,NA,2.3,8
8.79,3.21,2.08,2.4,NA,NA,NA,2.8,3.5
2.79,7.21,2.71,1.5,NA,NA,NA,5.3,4.8
2.08,1.54,4.25,4.4,NA,NA,NA,3.8,0.5
1.92,1.67,1.63,3,NA,NA,NA,2.1,0.5
3.25,2.58,4.33,1.4,NA,NA,NA,6.2,1
3.83,4.75,1.46,7.6,NA,NA,NA,6.4,2.3
3.83,16.96,5.54,22.1,NA,NA,NA,5.6,1.1
1.88,4.88,2.71,24.3,NA,NA,NA,1.7,3
7.54,20.13,5.54,11.5,NA,NA,NA,13.1,6.8
0.79,3.75,0.83,2,NA,NA,NA,12.9,9.5
3.42,1.5,3.54,4.3,NA,NA,NA,3.1,4.8
5.58,1.29,6.21,3.2,NA,NA,NA,10.5,1.5
9.83,3.63,2.21,5.3,NA,NA,NA,2.6,5.5
8.54,1.96,0.54,9.3,NA,NA,NA,10.9,1
6.04,2.04,6.67,3,NA,NA,NA,2.7,1.8
7.04,4.21,2.42,4.7,NA,NA,NA,1.3,1.9
0.96,0.83,4.08,5,NA,NA,NA,1.1,5.1
1.38,2,17.67,14.4,NA,NA,NA,1.8,1.3
1.04,5.58,15.17,24,NA,NA,NA,10.7,2.5
0.96,1.92,22.25,5,NA,NA,NA,1.2,1.6
4,2.96,4.92,1.7,NA,NA,NA,11.4,1.5
3.54,3.13,5.67,6.5,NA,NA,NA,1.7,1.1
11.04,5.42,2.29,6.3,NA,NA,NA,0.8,3.4
8.25,5.33,5.17,5.9,NA,NA,NA,1,1.6
4.17,7.67,7.96,12.4,NA,NA,NA,6.3,3.7
6.58,2.71,7.63,3.9,NA,NA,NA,5.2,3.1
4.17,2.38,1.46,4.3,NA,NA,NA,22.9,1.3
2.71,2.75,4.96,3.3,NA,NA,NA,34.4,2.5
2.63,5.42,18.79,4.9,NA,NA,NA,4.4,2.1
6.13,6.42,14.21,8.4,NA,NA,NA,2.7,3.6
2.29,4.63,13.71,9.9,NA,NA,NA,8.1,1.4
3.58,4.17,13.42,8,NA,NA,NA,5.3,2.9
2.96,3.96,3.79,2.5,NA,NA,NA,1.8,8.4
1.25,6.79,10.71,2.6,NA,NA,NA,18.3,1.5
4.42,5.67,1.08,4.1,NA,NA,NA,2.5,1.5
2.33,9.96,4.21,4.1,NA,NA,NA,2.8,4.1
2.63,12.58,1.38,2.4,NA,NA,NA,3.4,2.9
1.29,1.54,2.29,5.3,NA,NA,NA,5.7,1.7
7.25,4.58,2.17,1.2,NA,NA,NA,7.7,2
8.92,1.58,1,1.5,NA,NA,NA,4.6,1.4
7.33,2.21,3.67,1.1,NA,NA,NA,7,21.5
5.13,2.33,0.5,1.9,NA,NA,NA,2.2,2.4
6.42,5.04,0.92,1.9,NA,NA,NA,2.7,2.7
13.96,0.96,8.17,0.9,NA,NA,NA,4.9,10.4
4.42,12.5,4.38,1.9,NA,NA,NA,68,1.4
9.08,2.92,3.5,3.5,NA,NA,NA,1.3,7.4
3.92,1.46,8.08,9.9,NA,NA,NA,4.5,2.8
5.96,1.71,13.83,6,NA,NA,NA,1.9,3.2
6.79,4.96,6.17,4.9,NA,NA,NA,2,12.9
7.5,9.79,2.67,2.7,NA,NA,NA,3.4,4.2
3.79,29.42,12.38,7.1,NA,NA,NA,3.7,2.8
4,4.42,1.92,2.6,NA,NA,NA,15.2,11.1
2.33,1,2.83,5.3,NA,NA,NA,10.8,2.3
2.08,2.29,8.38,3,NA,NA,NA,3.2,1.3
3.58,1.67,0.04,25,NA,NA,NA,1.2,2.2
1.63,15.33,1.38,6.4,NA,NA,NA,12.6,3.3
1.71,12.21,5.42,18.3,NA,NA,NA,5.1,1.4
1.04,5.75,5.58,7,NA,NA,NA,2.5,0.8
1.83,8.42,3.54,10,NA,NA,NA,14.4,1.1
2.42,2.96,5.63,1.7,NA,NA,NA,32.2,1
1.17,1.96,5.25,1.4,NA,NA,NA,13.1,1
8.54,2,2.42,16.3,NA,NA,NA,4.3,0.5
3.17,4.54,2.21,3.5,NA,NA,NA,2.6,1.1
2.29,3.54,4.08,4.1,NA,NA,NA,4.1,2.2
2.46,4.08,3.29,5.2,NA,NA,NA,5.9,1.5
2.04,3.04,2.33,19.4,NA,NA,NA,3.4,2
2.13,2.92,1.79,19.6,NA,NA,NA,4.6,1.8
0.67,1.63,3.58,23.4,NA,NA,NA,1.4,10.7
1.46,10.08,9.83,22.2,NA,NA,NA,6.4,2.7
1.5,6.5,1.83,2.5,NA,NA,NA,1.7,1.2
2.67,5.29,2.29,10.8,NA,NA,NA,4.9,2.2
1.21,4.75,3.96,3.3,NA,NA,NA,3.4,1.3
3.67,2.08,2.58,4.3,NA,NA,NA,10.3,1.3
15.71,3.21,5.67,1.8,NA,NA,NA,8.4,2.7
3.58,8.33,2.96,1.7,NA,NA,NA,52.3,2.7
12.63,5.88,8.67,2.6,NA,NA,NA,6.8,2.7
3.63,6.04,2.04,2.4,NA,NA,NA,13.6,0.9
5.42,6.04,4.83,9.8,NA,NA,NA,2.1,1.5
5.42,3.21,5.54,8.4,NA,NA,NA,4.3,7.5
8.92,5.33,4.54,2.2,NA,NA,NA,5.8,1.5
2.63,2.46,1.92,4.8,NA,NA,NA,4.2,2.6
4,2.38,2.96,3.1,NA,NA,NA,11.7,2.2
8.88,2.25,8.54,3.3,NA,NA,NA,2.7,5.3
2.13,1.92,1.75,12,NA,NA,NA,8.9,1.2
4.29,3.63,1.13,6.9,NA,NA,NA,6.8,3
1.25,1.21,10,8.3,NA,NA,NA,2.9,2.8
1.67,2.25,2.54,12.6,NA,NA,NA,1.5,1.2
1.46,3.54,3.96,6.5,NA,NA,NA,1.1,1.5
14.58,2.38,5.79,4.5,NA,NA,NA,6,4.7
1.08,2.17,2.38,4.7,NA,NA,NA,1.7,2.3
1.79,2.21,5,2.8,NA,NA,NA,2,2
1.75,1.88,1.33,2.3,NA,NA,NA,6.8,4.9
1.58,6.29,5.38,5.2,NA,NA,NA,34.1,1.5
9.17,1.58,4.13,1.9,NA,NA,NA,1.7,0.8
1.21,5.92,1.83,3.1,NA,NA,NA,3.9,2.2
14.63,3.79,4.83,9.2,NA,NA,NA,4.4,0.9
1.88,3.96,14.58,11.5,NA,NA,NA,4.8,0.9
1.92,1.71,16.38,8.9,NA,NA,NA,1.3,3.1
4.21,1.96,8.58,4.8,NA,NA,NA,3.5,1.3
1.04,2.13,3.21,4,NA,NA,NA,6.4,1.7
1.96,1.63,2.96,6.1,NA,NA,NA,3.6,1.4
1.21,3.46,1.88,2.9,NA,NA,NA,1.9,1
7.42,2.79,1.42,2.8,NA,NA,NA,2.1,1
2.58,5.75,3.71,9.5,NA,NA,NA,3,1.5
3.04,6.54,6.96,5,NA,NA,NA,3.5,0.9
9.21,1.71,1.67,21.3,NA,NA,NA,3.3,1.6
2.33,2.83,1.13,6.8,NA,NA,NA,1.6,0.7
1.5,1.46,1.88,28,NA,NA,NA,3,2.3
5.54,0.96,2.25,6.2,NA,NA,NA,4,0.8
6,1.29,4.54,2.6,NA,NA,NA,0.9,1.1
3.29,2.29,1.83,9.7,NA,NA,NA,1,5.1
7.08,2.08,4.04,4.9,NA,NA,NA,2.1,0.8
6.33,8.54,5.13,8.5,NA,NA,NA,4.4,2.6
6.25,5.71,20.5,1.4,NA,NA,NA,3.9,1.4
6.54,21.17,8.25,1.8,NA,NA,NA,5.7,2.5
4.25,47.29,2.21,1.5,NA,NA,NA,1.5,1.9
1.63,21.29,3.08,1.3,NA,NA,NA,46.9,0.8
1.96,38.29,12.17,24.9,NA,NA,NA,7,0.8
2.21,16.67,6.71,3.8,NA,NA,NA,3.3,1.1
6.38,11.63,1.88,9.3,NA,NA,NA,6.4,0.5
3.54,1.08,2.21,5.2,NA,NA,NA,11.7,1
7.42,2.5,21.88,2.2,NA,NA,NA,5.4,0.8
7.58,13.83,6.25,2,NA,NA,NA,22.3,0.6
6.58,11.67,9.67,7.5,NA,NA,NA,2.3,0.7
3.46,2.13,6.75,5.6,NA,NA,NA,50.3,0.9
10.29,2.5,5.96,2.4,NA,NA,NA,5.7,1.5
6.17,2.79,3.71,2.3,NA,NA,NA,30.6,0.8
3.88,7.42,9.96,19.3,NA,NA,NA,9,4.7
4.33,5.13,5.54,12.3,NA,NA,NA,1.9,5.2
4.17,3.88,10.54,5.2,NA,NA,NA,0.7,1.1
8.58,3.13,3.54,2.7,NA,NA,NA,0.5,1.8
2.33,4.21,1.67,5.7,NA,NA,NA,1.2,3
4.58,4.08,7.5,3.5,NA,NA,NA,4.5,2.5
15.08,13.08,5.38,13.6,NA,NA,NA,1.7,0.7
4.58,6.33,7.63,9.1,NA,NA,NA,1.3,1.8
3.96,3.04,9.54,4.4,NA,NA,NA,1.3,0.9
6.92,5.79,4.5,3.4,NA,NA,NA,14.7,0.7
4,7.08,9.67,4.9,NA,NA,NA,15.5,1.6
2.29,4.46,14.38,4.7,NA,NA,NA,24.8,1
1.75,28,2.17,1.2,NA,NA,NA,10.5,1.4
1.54,25.25,30.46,5.3,NA,NA,NA,2.4,5.3
1.63,8.25,3.54,2.7,NA,NA,NA,2.2,1.3
2.54,9.17,3.71,2,NA,NA,NA,6.2,2.5
3.71,5.21,6.5,5.9,NA,NA,NA,5.6,2.5
4.83,8.63,6.5,6.6,NA,NA,NA,43.5,2
2.04,3.04,9.25,7,NA,NA,NA,35.9,5.2
10.67,2.33,2.17,2.3,NA,NA,NA,3.4,2.2
4.88,1.29,1.54,11.3,NA,NA,NA,4,1.5
4.58,2.79,1.79,3.4,NA,NA,NA,51.4,2.8
5.46,6.08,8.46,7.3,NA,NA,NA,1.5,0.7
7.46,2.25,2,6.8,NA,NA,NA,1.3,3.1
2.88,7.54,4.46,3.6,NA,NA,NA,14.8,1
2.58,2.54,5.04,4.2,NA,NA,NA,3.1,0.9
3.58,1.5,3.08,11.9,NA,NA,NA,2.2,1
15.96,1.67,3.88,6.6,NA,NA,NA,4.4,0.6
7.54,11.42,2.63,17.9,NA,NA,NA,8.2,1.9
21.5,8.88,3.42,4.5,NA,NA,NA,7.1,4.7
4.63,12.63,3.88,3.2,NA,NA,NA,25.3,0.9
7.25,3.92,2.25,7.8,NA,NA,NA,1.9,0.8
2.17,2.83,2.42,6.6,NA,NA,NA,2.8,0.5
7.17,2.75,2.42,9.8,NA,NA,NA,4.1,4.7
4.75,5.29,1.5,1.9,NA,NA,NA,13.6,3.5
5.29,2.58,3.54,2.3,NA,NA,NA,3.1,2.8
1.33,3.17,2.88,2,NA,NA,NA,2.3,2
2.54,1.13,0.92,1.7,NA,NA,NA,1.4,2.4
2.04,4.46,4.08,1.7,NA,NA,NA,2.1,2.6
4.04,5.96,1.96,2.2,NA,NA,NA,1.4,2.5
2.63,12,23.58,26.9,NA,NA,NA,2.2,0.7
3.13,2.88,3,3.3,NA,NA,NA,0.9,4.3
1.75,2.83,9.46,3,NA,NA,NA,5.7,2.7
3.17,42.33,4.21,4.9,NA,NA,NA,19.8,0.8
4.96,24.42,8.75,12,NA,NA,NA,4.1,2.2
14.17,16.25,3.42,4.4,NA,NA,NA,3,1.5
5.79,2.46,2.42,4.6,NA,NA,NA,16.4,1.5
2.54,15.42,3.96,6.4,NA,NA,NA,1.6,1.4
5.33,1.29,10.33,8,NA,NA,NA,1.8,1.4
5.63,3.42,0.96,3.9,NA,NA,NA,9.8,3.3
6.38,3.42,1.79,3.7,NA,NA,NA,5.3,1.4
6.46,3.79,5.17,2.1,NA,NA,NA,2.1,0.9
10.88,1.25,4.79,1.7,NA,NA,NA,9.2,0.8
9.08,2.88,8.58,13.8,NA,NA,NA,2.1,2.5
11.5,8.21,8.17,6,NA,NA,NA,5.2,3
4.67,2.88,1.92,7.2,NA,NA,NA,1.3,10
9,6.29,10.71,4.8,NA,NA,NA,2.2,2.9
3.42,7.5,4,2.6,NA,NA,NA,1.5,1
2.83,1.96,5.79,5.4,NA,NA,NA,3.3,1.5
2.83,3.42,4,15.2,NA,NA,NA,2,1.2
4.79,1.42,4,3,NA,NA,NA,3.6,1.7
2,7.83,9.92,5.2,NA,NA,NA,1.9,7.6
15.33,1.33,16.67,6.2,NA,NA,NA,1.5,7.3
57.63,4.54,11.88,1.6,NA,NA,NA,1.7,11.3
8.42,1.29,4.38,1.6,NA,NA,NA,1.5,7.3
3.42,7.63,4.08,3.8,NA,NA,NA,1.6,2.5
9.83,11.83,3.33,6.9,NA,NA,NA,4.4,3
2.71,13.71,0.04,8.2,NA,NA,NA,11.9,14.4
29.63,4.42,1.83,11.5,NA,NA,NA,7.1,4.2
15.17,1.46,14.13,5.6,NA,NA,NA,2.7,12.4
3.17,1.42,2.08,2.3,NA,NA,NA,3.5,4.1
5.04,1.38,0.92,4.7,NA,NA,NA,3.2,1.6
2.63,1.42,1.96,15.6,NA,NA,NA,43.9,1.1
1.83,1.67,2.79,4.5,NA,NA,NA,1.4,23
8.04,11.96,9.92,2,NA,NA,NA,3.7,3.2
3,78.83,5.08,2.1,NA,NA,NA,2.1,1.7
1.38,2.13,4.79,3.1,NA,NA,NA,8.9,7.7
1.75,3.29,6.63,5.3,NA,NA,NA,1.5,8.5
2.79,1.79,10.67,7,NA,NA,NA,4.6,3.6
1.58,3.38,2.83,7.9,NA,NA,NA,4.1,1.4
6.29,1.71,1.46,4.9,NA,NA,NA,2.2,4
2.63,26.5,2.42,1.6,NA,NA,NA,3.8,4
3.96,1.54,1.75,2.2,NA,NA,NA,8.8,5.4
2.13,3.88,4.79,9.7,NA,NA,NA,5.6,6.6
4.75,4.71,5.54,10.2,NA,NA,NA,7,29.5
3.08,6.54,19.42,2.1,NA,NA,NA,10.6,4.4
4.25,6.21,11.42,2.3,NA,NA,NA,1.8,3.3
14.29,18.46,8.42,11.1,NA,NA,NA,25.2,NA
14.21,10.83,9.38,2.2,NA,NA,NA,2.3,NA
13.67,6,9.13,3.1,NA,NA,NA,13.4,NA
2.29,13.42,2.17,3.9,NA,NA,NA,2.5,NA
18.92,6.79,6.17,3.8,NA,NA,NA,4.9,NA
33.25,2.42,7.54,5,NA,NA,NA,7.3,NA
4.79,1.75,18,2.2,NA,NA,NA,1.4,NA
3.38,1.33,5.29,19.8,NA,NA,NA,18.2,NA
2.46,4.33,2.75,4,NA,NA,NA,2.3,NA
10.54,1.25,1.29,9.6,NA,NA,NA,1.5,NA
8,2.13,1.33,1.6,NA,NA,NA,4.1,NA
1.96,5.33,2.83,2.5,NA,NA,NA,3.6,NA
2.04,5.33,1.67,7,NA,NA,NA,1,NA
5.21,2,4.79,2.7,NA,NA,NA,3.6,NA
3.75,12.88,22.75,4.8,NA,NA,NA,1.9,NA
2.63,3.04,8.46,6.4,NA,NA,NA,7.1,NA
4.5,6.46,3.58,10,NA,NA,NA,3.9,NA
2.17,2.46,1.71,52.5,NA,NA,NA,2.9,NA
2.96,1.71,2.29,21.4,NA,NA,NA,6.1,NA
3,1.63,2.04,15.4,NA,NA,NA,8.9,NA
3.67,2.33,4.79,8.9,NA,NA,NA,3.5,NA
2.58,5.71,2.42,12.7,NA,NA,NA,4,NA
15.96,11.13,8.92,1.9,NA,NA,NA,5.8,NA
3.08,3,4.42,0.7,NA,NA,NA,6.6,NA
1.46,3.88,3.08,1.6,NA,NA,NA,17.1,NA
7.13,7.17,4.46,2.8,NA,NA,NA,2.7,NA
3.75,2.75,22.5,4.4,NA,NA,NA,3.1,NA
3.38,4.17,3.33,9.3,NA,NA,NA,5,NA
13.96,3.04,3.29,4.4,NA,NA,NA,2.7,NA
2.25,2.21,2.63,11.7,NA,NA,NA,34.7,NA
2.29,3.33,2.67,7.7,NA,NA,NA,14.2,NA
7.63,4.5,1.38,2,NA,NA,NA,26.2,NA
8.29,2.63,2.67,2.9,NA,NA,NA,NA,NA
3.5,5.29,1.63,4.2,NA,NA,NA,NA,NA
3.79,3.42,6.75,4.4,NA,NA,NA,NA,NA
4.54,3.08,5.96,2.9,NA,NA,NA,NA,NA
2.38,1.04,3.29,6.4,NA,NA,NA,NA,NA
2.25,4.5,18.92,6.3,NA,NA,NA,NA,NA
1.92,2.46,9,3.7,NA,NA,NA,NA,NA
3.04,4.38,5.38,2.4,NA,NA,NA,NA,NA
1.88,2.25,5.25,2.7,NA,NA,NA,NA,NA
2.54,2.58,16.96,2,NA,NA,NA,NA,NA
8.92,3.04,1.08,2.4,NA,NA,NA,NA,NA
1.96,7.42,5.38,8.5,NA,NA,NA,NA,NA
9.38,4.42,4,8.1,NA,NA,NA,NA,NA
5.25,3.79,5.38,3.9,NA,NA,NA,NA,NA
1.58,2.75,13.71,5.7,NA,NA,NA,NA,NA
18.29,1,2.67,2.7,NA,NA,NA,NA,NA
1.92,1.71,2.38,4.2,NA,NA,NA,NA,NA
1.71,3.33,2.13,4.4,NA,NA,NA,NA,NA
3.54,1.21,4.96,6.8,NA,NA,NA,NA,NA
5.13,5.79,1.38,8.7,NA,NA,NA,NA,NA
15.21,2.58,3.75,1.9,NA,NA,NA,NA,NA
9.13,5.17,4.21,2.1,NA,NA,NA,NA,NA
2.13,2.13,2.13,4.3,NA,NA,NA,NA,NA
6.67,2,9.21,2.5,NA,NA,NA,NA,NA
2.21,1.75,19,3.9,NA,NA,NA,NA,NA
9.42,2.54,3.08,6.1,NA,NA,NA,NA,NA
41.83,2.54,1.38,7.9,NA,NA,NA,NA,NA
13.21,2.54,6.08,3.3,NA,NA,NA,NA,NA
12.63,3.29,5.38,7.9,NA,NA,NA,NA,NA
3.17,2.25,2.71,10.2,NA,NA,NA,NA,NA
14.25,2.04,1.54,7.5,NA,NA,NA,NA,NA
1.13,4.5,1.83,5.7,NA,NA,NA,NA,NA
6.42,2.58,2.04,5.9,NA,NA,NA,NA,NA
3.13,1.88,16,5.5,NA,NA,NA,NA,NA
17.04,6.21,4.46,5.6,NA,NA,NA,NA,NA
4.92,10.63,2.71,3.4,NA,NA,NA,NA,NA
2.04,1.46,9.42,3.6,NA,NA,NA,NA,NA
2.46,3.71,3.83,5.3,NA,NA,NA,NA,NA
8.38,3,3.33,3.2,NA,NA,NA,NA,NA
3.13,5.42,1.92,4.6,NA,NA,NA,NA,NA
1.29,1.96,26.96,16.4,NA,NA,NA,NA,NA
2.38,9.04,37.75,5.2,NA,NA,NA,NA,NA
7.04,4.75,1.83,4.4,NA,NA,NA,NA,NA
1.79,1.71,12,5.2,NA,NA,NA,NA,NA
1.13,2.92,0.04,2.3,NA,NA,NA,NA,NA
3.71,10.42,2.46,3.2,NA,NA,NA,NA,NA
5.63,9.5,8.67,3,NA,NA,NA,NA,NA
2.21,13.88,3.33,0.8,NA,NA,NA,NA,NA
2.46,5.42,1.88,4.2,NA,NA,NA,NA,NA
3.79,7.46,2,3.1,NA,NA,NA,NA,NA
6.29,5.29,3.83,5.2,NA,NA,NA,NA,NA
1.42,1.08,7.29,3.2,NA,NA,NA,NA,NA
3.83,4.21,1.04,6.8,NA,NA,NA,NA,NA
3.08,3.63,15.96,6.1,NA,NA,NA,NA,NA
7.71,6.42,8.33,8,NA,NA,NA,NA,NA
0.63,4,2.63,1.5,NA,NA,NA,NA,NA
3.58,10.63,3.42,2.5,NA,NA,NA,NA,NA
3.58,5.38,5.08,1.2,NA,NA,NA,NA,NA
7.54,6.5,4.42,5.5,NA,NA,NA,NA,NA
4.25,2,1.92,5.3,NA,NA,NA,NA,NA
1.96,7.75,1.92,2.8,NA,NA,NA,NA,NA
0.71,6.29,9.33,1.5,NA,NA,NA,NA,NA
3.29,3.29,1.54,1.5,NA,NA,NA,NA,NA
3.29,8,8.96,1.4,NA,NA,NA,NA,NA
2.79,3.33,2.5,2.5,NA,NA,NA,NA,NA
3.83,9.21,6.13,5.7,NA,NA,NA,NA,NA
2.58,2.96,7.29,1.5,NA,NA,NA,NA,NA
1.54,12.38,1.75,3.3,NA,NA,NA,NA,NA
11.88,2.17,4.75,2.7,NA,NA,NA,NA,NA
1.83,10.79,2.17,4,NA,NA,NA,NA,NA
3.58,2.5,1.33,5.2,NA,NA,NA,NA,NA
1.92,5.67,0.04,2.6,NA,NA,NA,NA,NA
5.33,1.83,1.54,2.9,NA,NA,NA,NA,NA
2.83,1.67,7.21,1.4,NA,NA,NA,NA,NA
2.38,6.92,6.67,3,NA,NA,NA,NA,NA
6.29,5.04,18.13,3.2,NA,NA,NA,NA,NA
3.79,19.5,4.83,1.4,NA,NA,NA,NA,NA
2.79,19.21,0.79,3.6,NA,NA,NA,NA,NA
1.71,15.67,6.63,4.3,NA,NA,NA,NA,NA
0.58,4.25,2.88,1.4,NA,NA,NA,NA,NA
2.38,13.33,7.75,4.3,NA,NA,NA,NA,NA
12.92,1.46,14,2,NA,NA,NA,NA,NA
6.13,1.71,6.5,2.6,NA,NA,NA,NA,NA
3.42,8.67,6.33,2.7,NA,NA,NA,NA,NA
5.04,11.17,15.42,2.6,NA,NA,NA,NA,NA
4.75,16.13,1.21,3.3,NA,NA,NA,NA,NA
1.92,1.63,18.21,3.6,NA,NA,NA,NA,NA
2.42,5.88,2.92,2.5,NA,NA,NA,NA,NA
3.17,14.88,3.83,2.7,NA,NA,NA,NA,NA
2.75,10.17,4.21,8.5,NA,NA,NA,NA,NA
7.29,2.17,10.29,5.6,NA,NA,NA,NA,NA
5.75,2.75,5.08,5,NA,NA,NA,NA,NA
1.83,1.88,1.67,5.2,NA,NA,NA,NA,NA
5.04,2.54,1.25,3.1,NA,NA,NA,NA,NA
2.25,5.08,5.17,3.4,NA,NA,NA,NA,NA
1.58,2.25,2.71,8.4,NA,NA,NA,NA,NA
2,4.88,3.42,2.4,NA,NA,NA,NA,NA
6.17,16.29,0.5,2.9,NA,NA,NA,NA,NA
2.63,2.33,4.42,7,NA,NA,NA,NA,NA
8.17,2.63,2.83,8.5,NA,NA,NA,NA,NA
2.21,2.33,3.67,3.8,NA,NA,NA,NA,NA
5.04,2.04,3.42,9.5,NA,NA,NA,NA,NA
4.08,1.67,6.04,5.2,NA,NA,NA,NA,NA
2.71,3.38,9.71,6,NA,NA,NA,NA,NA
4.63,1.38,7.83,9.7,NA,NA,NA,NA,NA
3.5,13.96,12.25,9.3,NA,NA,NA,NA,NA
6.71,3.54,2.83,4.4,NA,NA,NA,NA,NA
3.04,5.21,9.83,3.6,NA,NA,NA,NA,NA
12.42,4.5,4.79,15.1,NA,NA,NA,NA,NA
2.92,3.29,6.17,11.5,NA,NA,NA,NA,NA
1.38,4.42,5.42,2.8,NA,NA,NA,NA,NA
2.79,3.08,4.04,2,NA,NA,NA,NA,NA
4.96,14.17,4.13,2.2,NA,NA,NA,NA,NA
2.96,3.33,16.42,29.7,NA,NA,NA,NA,NA
6.58,24.75,7.96,10.9,NA,NA,NA,NA,NA
1.33,11.04,2.58,10.3,NA,NA,NA,NA,NA
2.13,51.25,2.79,4,NA,NA,NA,NA,NA
5.88,3.79,3.33,5,NA,NA,NA,NA,NA
1.29,4.67,4.29,6.2,NA,NA,NA,NA,NA
1.21,4,23.04,4.5,NA,NA,NA,NA,NA
5,6.96,2.42,13.5,NA,NA,NA,NA,NA
1.96,1.38,2.67,NA,NA,NA,NA,NA,NA
3.5,11.71,5.29,NA,NA,NA,NA,NA,NA
4.13,4.88,16.63,NA,NA,NA,NA,NA,NA
2.21,9.54,13.38,NA,NA,NA,NA,NA,NA
1.88,7.79,10.33,NA,NA,NA,NA,NA,NA
3.5,2.71,7.83,NA,NA,NA,NA,NA,NA
6.46,1.79,17.13,NA,NA,NA,NA,NA,NA
3,7.42,3.29,NA,NA,NA,NA,NA,NA
8.67,1.92,2.67,NA,NA,NA,NA,NA,NA
7.08,11.79,3.67,NA,NA,NA,NA,NA,NA
8.21,10.08,8.83,NA,NA,NA,NA,NA,NA
12.63,10.42,17.38,NA,NA,NA,NA,NA,NA
6.38,6.92,8.04,NA,NA,NA,NA,NA,NA
2.63,10.92,7.58,NA,NA,NA,NA,NA,NA
6.58,22.96,11.75,NA,NA,NA,NA,NA,NA
5.33,3.42,1.38,NA,NA,NA,NA,NA,NA
4.83,9.25,7,NA,NA,NA,NA,NA,NA
22.13,2.67,4.25,NA,NA,NA,NA,NA,NA
