The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
0.17604692171042957,0.07524983733606401,0.004760131448227416,0.016365188443737695,0.29602574073310345,0.1860479434385051,0.05942599181822138,0,0
0.33191802188288233,0.16259649530796802,0.06277451155943914,0.08136534075761717,0.42090596811246583,0.22193604179952778,0.08756580585028703,0.027430469000919073,0.005978334989922832
0.5038065261033118,0.26569937184697334,0.1457367729838786,0.17009144653437702,0.5189201481230785,0.22838341352077562,0.10397893704597609,0.07945186365365643,0.015391722491862936
0.660427759931177,0.3794498786819973,0.25421183738656433,0.27454000870482126,0.5762711315733273,0.23591165504185596,0.09937374645099374,0.15965092942762368,0.02782702904407673
0.7707137315078298,0.5056378016411763,0.38367938914912986,0.3678650485219208,0.6010241604582504,0.2627549070471499,0.07634282289349356,0.2589715984759269,0.04119500560399318
0.8217479405237468,0.6362480348711997,0.5205413148591856,0.4172980455425124,0.6076221350324047,0.29549382056394097,0.047120265708346244,0.3562262196421545,0.052023386444287736
0.8280560540171452,0.7297638152954847,0.6457321588222479,0.41082085913279004,0.5990721952126816,0.3189280190119686,0.023580892725077306,0.4309532387424572,0.056838940838950226
0.8180071038777268,0.7403354754192428,0.7481299876845029,0.3673186204466217,0.5668138163205048,0.34029373292857673,0.010741016237540436,0.479128397304655,0.053968386105790356
0.8096236203847423,0.6864860542725069,0.8327589076864166,0.3172126653513842,0.5087739070525301,0.37500001080097856,0.008911420695251679,0.5138340943106159,0.04455594973228792
0.802541309014071,0.6499863090321296,0.9096548657106163,0.2774460183952425,0.4432967992033456,0.4189455033710429,0.019981304062269944,0.5464860603535932,0.0320931384193935
0.7902263177628357,0.6834136260056103,0.9734646812912634,0.24780082975768267,0.4002569904089902,0.44382818843614036,0.05152020364867433,0.5688369973535989,0.02092799354381158
0.7710114990363105,0.7532650796491274,1,0.22635108754338748,0.3989438519340615,0.4253254313830095,0.11563746201871014,0.559936089751436,0.01494002508140425
0.7452077137596459,0.7888764298524307,0.9690630383968875,0.21868948161435153,0.43734051556889736,0.3741560541068336,0.22300887326016622,0.5130942838786505,0.017159882005305268
0.7080388652967804,0.7517299806151994,0.8881305653404042,0.23229786286917264,0.4994459518571979,0.3311466411536734,0.3756928538860053,0.4492657892348285,0.030071576746233643
0.6504354847665194,0.649503280971853,0.786669574599284,0.2691587884689504,0.5636365027591871,0.32568589901623324,0.5623892612450587,0.39782002014094026,0.05570819555341379
0.5698989835399185,0.5214830640701276,0.6901933809187566,0.3280311326341882,0.6027444019788366,0.3433002394314687,0.7557255216051457,0.3680859610710264,0.09495816523984106
0.4832654204133542,0.4177322987047311,0.6084427854922934,0.40876693146919574,0.5907673383697496,0.34434762549874476,0.9117793117673367,0.3471365927030845,0.14635156889243017
0.4227314799010892,0.3646191329936239,0.5441673889657859,0.5069261411736654,0.523553363687933,0.3088095569447771,0.9794295684866994,0.31957046129666555,0.20519808744021548
0.40964715253705286,0.3501681201581469,0.4990107332293485,0.6059575223083624,0.4300199320257493,0.2514189943365825,0.9239722223620598,0.28327583717398397,0.2638296234382378
0.4341292397748228,0.3532529596050233,0.46764428619070536,0.6836914751797857,0.3533191659320306,0.20285226213732457,0.7555634046047032,0.2476753719177853,0.3130790979030202
0.46776337936404727,0.3721102653629664,0.4355375673439618,0.729746226987561,0.3186628106787641,0.18660491933382337,0.5290749937120771,0.2233696028308871,0.3446052287160367
0.4940926405352339,0.41622148095002603,0.3903563953874094,0.7522249971987811,0.3201612243398066,0.20531466113056035,0.3137778088632862,0.21651659734431009,0.3535192858141326
0.5197675290575813,0.4859958774931966,0.33748017946634745,0.7670503757451439,0.33452774891177733,0.2371176520857567,0.1563557003648754,0.23006037429727363,0.3406150303201728
0.5572647876369393,0.565725581515059,0.30185516486824937,0.7866299006129305,0.3420641089199689,0.24539998855663706,0.06595642826614675,0.2644591573366384,0.31302619344158916
0.6051965449462419,0.6261402979562334,0.309390868284509,0.8183739919166891,0.3354870620204467,0.2066018642703165,0.02712953165438288,0.31380825498378945,0.28196468813336417
0.649263697495544,0.6390548831535862,0.36427286005447684,0.8629423552652962,0.3156827359351266,0.13450115282532824,0.021567559479489986,0.36423906226750674,0.2574959699492436
0.6773844521249762,0.6025144351894467,0.44713237047575466,0.9057792435117809,0.2854779272323341,0.06592284388218178,0.03937399588503373,0.401228902349941,0.24296209246853823
0.6884829211475914,0.5451245184132814,0.5357059675973681,0.9160221199458675,0.2492271819504701,0.024261999009171028,0.07555563503908916,0.4172192750358552,0.23325899028411182
0.6868504238306825,0.49626295121795394,0.6197418500909303,0.8647375934166448,0.21588172568606492,0.008473543309148289,0.12015976354053334,0.4089749514993996,0.21909934162718686
0.6716639961840764,0.4586806139866885,0.6903348884804849,0.7486050444841296,0.19778713861212396,0.010254560278812401,0.15568427251680045,0.3735974486776954,0.19446421073974626
0.6374224224265356,0.4193507195895499,0.7274024904003306,0.5954809518046776,0.20324218136968633,0.028969505896624503,0.168713841516203,0.3151518013628812,0.1612805408290277
0.5888015165663566,0.3800960446110842,0.7182105367159077,0.4486718080819519,0.23088438284080443,0.07019915617819007,0.16463401344558115,0.25141602245786937,0.1276102333315813
0.5505972437059374,0.35569820340381286,0.6875402031720668,0.34609568340937064,0.2734113112556671,0.13307503621608197,0.1653781169754568,0.20529476561737484,0.10150599868892254
0.5516831241817829,0.3418964204122742,0.6887242286668751,0.3076841354590606,0.32693130711714324,0.1995657207575554,0.18767815550266304,0.18808968136225665,0.08543380246958052
