genre,film,Normalised_time,Simplified
action,Aquaman,1,0.5136772628119852
action,Aquaman,2,0.5189481120415662
action,Aquaman,3,0.5293843823101589
action,Aquaman,4,0.5447768844988368
action,Aquaman,5,0.5648159773943193
action,Aquaman,6,0.5890964671113068
action,Aquaman,7,0.6171240216152005
action,Aquaman,8,0.6483230015202353
action,Aquaman,9,0.6820455865292372
action,Aquaman,10,0.7175820569374987
action,Aquaman,11,0.7541720718525913
action,Aquaman,12,0.7910167704583511
action,Aquaman,13,0.8272915100107463
action,Aquaman,14,0.862159044490183
action,Aquaman,15,0.8947829410984287
action,Aquaman,16,0.9243410281812081
action,Aquaman,17,0.950038667733426
action,Aquaman,18,0.971121648407228
action,Aquaman,19,0.9868885008485242
action,Aquaman,20,0.9967020461413265
action,Aquaman,21,1
action,Aquaman,22,0.9963044699311465
action,Aquaman,23,0.9852301996609802
action,Aquaman,24,0.9664914344238409
action,Aquaman,25,0.939907301931842
action,Aquaman,26,0.9054056266637387
action,Aquaman,27,0.8630251191677836
action,Aquaman,28,0.8129159069946685
action,Aquaman,29,0.7553383992754574
action,Aquaman,30,0.6906605024419477
action,Aquaman,31,0.6193532297581892
action,Aquaman,32,0.5419847718027382
action,Aquaman,33,0.45921311843356993
action,Aquaman,34,0.371777344720851
action,Aquaman,35,0.2804876935093388
action,Aquaman,36,0.18621460536247336
action,Aquaman,37,0.0898768623678674
action,Aquaman,38,-0.007570974590425994
action,Aquaman,39,-0.1051516451620198
action,Aquaman,40,-0.2018785881607802
action,Aquaman,41,-0.29676945788539877
action,Aquaman,42,-0.38885955533309224
action,Aquaman,43,-0.4772149734566664
action,Aquaman,44,-0.5609452606578025
action,Aquaman,45,-0.6392154147614779
action,Aquaman,46,-0.7112570306449186
action,Aquaman,47,-0.7763784383217557
action,Aquaman,48,-0.8339736843885619
action,Aquaman,49,-0.8835302280688888
action,Aquaman,50,-0.9246352433472254
action,Aquaman,51,-0.9569804405503317
action,Aquaman,52,-0.9803653438600742
action,Aquaman,53,-0.9946989852650896
action,Aquaman,54,-1
action,Aquaman,55,-0.9963951331949454
action,Aquaman,56,-0.9841161918780915
action,Aquaman,57,-0.9634955002576819
action,Aquaman,58,-0.9349599389872316
action,Aquaman,59,-0.8990236705333328
action,Aquaman,60,-0.8562796724884375
action,Aquaman,61,-0.8073902183963793
action,Aquaman,62,-0.7530764611141703
action,Aquaman,63,-0.6941072866839368
action,Aquaman,64,-0.6312876169382022
action,Aquaman,65,-0.5654463464575343
action,Aquaman,66,-0.49742410393488135
action,Aquaman,67,-0.4280610294157732
action,Aquaman,68,-0.3581847572659371
action,Aquaman,69,-0.2885987901039163
action,Aquaman,70,-0.2200714414092917
action,Aquaman,71,-0.15332551420662555
action,Aquaman,72,-0.08902887030454942
action,Aquaman,73,-0.027786029252693245
action,Aquaman,74,0.029869081281511
action,Aquaman,75,0.08347912133357127
action,Aquaman,76,0.13266799914143168
action,Aquaman,77,0.17714413687493136
action,Aquaman,78,0.21670230506607835
action,Aquaman,79,0.25122401261074856
action,Aquaman,80,0.28067646271614977
action,Aquaman,81,0.30511010839888053
action,Aquaman,82,0.3246548637236344
action,Aquaman,83,0.3395150485516918
action,Aquaman,84,0.3499631647970036
action,Aquaman,85,0.3563326207440909
action,Aquaman,86,0.35900953657153867
action,Aquaman,87,0.35842377858503083
action,Aquaman,88,0.35503938156828685
action,Aquaman,89,0.34934452792229953
action,Aquaman,90,0.34184125873900095
action,Aquaman,91,0.3330350955459209
action,Aquaman,92,0.3234247521110196
action,Aquaman,93,0.3134921134064492
action,Aquaman,94,0.3036926536386435
action,Aquaman,95,0.29444645724849705
action,Aquaman,96,0.2861299961034127
action,Aquaman,97,0.27906880291945524
action,Aquaman,98,0.27353116548379774
action,Aquaman,99,0.26972294874866987
action,Aquaman,100,0.2677836326243277
action,Avengers Age of Ultron,1,1
action,Avengers Age of Ultron,2,0.9897966164114118
action,Avengers Age of Ultron,3,0.9695039399190439
action,Avengers Age of Ultron,4,0.9393486343853625
action,Avengers Age of Ultron,5,0.8996669236824841
action,Avengers Age of Ultron,6,0.8509001262283635
action,Avengers Age of Ultron,7,0.7935888014609065
action,Avengers Age of Ultron,8,0.7283655923897965
action,Avengers Age of Ultron,9,0.655946867011455
action,Avengers Age of Ultron,10,0.5771232784792228
action,Avengers Age of Ultron,11,0.4927493792337141
action,Avengers Age of Ultron,12,0.40373243758977373
action,Avengers Age of Ultron,13,0.3110206163501459
action,Avengers Age of Ultron,14,0.21559068170917306
action,Avengers Age of Ultron,15,0.11843541689634751
action,Avengers Age of Ultron,16,0.02055091860146696
action,Avengers Age of Ultron,17,-0.07707604482793529
action,Avengers Age of Ultron,18,-0.1734804361283202
