genre,film,emotion_type,count
Drama,Fifty Shades Darker,Surprise,92
Drama,Fifty Shades Freed,Surprise,84
Drama,Fifty Shades of Grey,Surprise,71
Drama,Ford v Ferrari,Surprise,119
Drama,Hidden Figures,Surprise,128
Drama,Hustlers,Surprise,138
Drama,Knives Out,Surprise,138
Drama,Little Women,Surprise,171
Drama,Murder On The Orient Express,Surprise,123
Drama,Straight Outta Compton,Surprise,221
Drama,Sully,Surprise,103
Drama,The Mule,Surprise,114
Drama,Wonder,Surprise,140
Horror,A Quiet Place,Surprise,2
Horror,Alien Covenant,Surprise,60
Horror,Annabelle 2 Creation,Surprise,50
Horror,Annabelle Comes Home,Surprise,66
Horror,Dont Breathe,Surprise,34
Horror,Escape Room,Surprise,73
Horror,Get Out,Surprise,60
Horror,Goosebumps,Surprise,67
Horror,Halloween,Surprise,101
Horror,Insidious the Last Key,Surprise,46
Horror,It,Surprise,77
Horror,It Chapter Two,Surprise,139
Horror,Lights Out,Surprise,24
Horror,Scary Stories to Tell in the Dark,Surprise,45
Horror,Split,Surprise,83
Horror,The Conjuring 2,Surprise,71
Horror,The First Purge,Surprise,90
Horror,The Nun,Surprise,36
Horror,The Purge Election Year,Surprise,85
Horror,The Visit,Surprise,199
Action,Aquaman,Surprise negated,8
Action,Avengers Age of Ultron,Surprise negated,10
Action,Avengers Endgame,Surprise negated,11
Action,Avengers Infinity War,Surprise negated,7
Action,Batman v Superman Dawn of Justice,Surprise negated,12
Action,Black Panther,Surprise negated,14
Action,Captain America Civil War,Surprise negated,11
Action,Captain Marvel,Surprise negated,8
Action,Deadpool,Surprise negated,10
Action,Deadpool 2,Surprise negated,21
Action,Doctor Strange,Surprise negated,7
Action,Furious Seven,Surprise negated,6
Action,Guardians of the Galaxy Vol 2,Surprise negated,15
Action,Jurassic World,Surprise negated,5
Action,Jurassic World Fallen Kingdom,Surprise negated,9
Action,Spider-Man Far from Home,Surprise negated,13
Action,Spider-Man Homecoming,Surprise negated,15
Action,Suicide Squad,Surprise negated,11
Action,Thor Ragnarok,Surprise negated,9
Action,Wonder Woman,Surprise negated,13
Drama,A Star is Born,Surprise negated,22
Drama,Arrival,Surprise negated,8
Drama,Bohemian Rhapsody,Surprise negated,12
Drama,Cinderella,Surprise negated,5
Drama,Creed,Surprise negated,14
Drama,Creed II,Surprise negated,14
Drama,Downton Abbey,Surprise negated,19
Drama,Fifty Shades Darker,Surprise negated,10
Drama,Fifty Shades Freed,Surprise negated,7
Drama,Fifty Shades of Grey,Surprise negated,4
Drama,Ford v Ferrari,Surprise negated,13
Drama,Hidden Figures,Surprise negated,10
Drama,Hustlers,Surprise negated,19
Drama,Knives Out,Surprise negated,25
Drama,Little Women,Surprise negated,28
Drama,Murder On The Orient Express,Surprise negated,11
Drama,Straight Outta Compton,Surprise negated,20
Drama,Sully,Surprise negated,12
Drama,The Mule,Surprise negated,8
Drama,Wonder,Surprise negated,9
Horror,A Quiet Place,Surprise negated,0
Horror,Alien Covenant,Surprise negated,14
Horror,Annabelle 2 Creation,Surprise negated,7
Horror,Annabelle Comes Home,Surprise negated,6
Horror,Dont Breathe,Surprise negated,5
Horror,Escape Room,Surprise negated,11
Horror,Get Out,Surprise negated,8
Horror,Goosebumps,Surprise negated,11
Horror,Halloween,Surprise negated,4
Horror,Insidious the Last Key,Surprise negated,3
Horror,It,Surprise negated,6
Horror,It Chapter Two,Surprise negated,14
Horror,Lights Out,Surprise negated,6
Horror,Scary Stories to Tell in the Dark,Surprise negated,15
Horror,Split,Surprise negated,7
Horror,The Conjuring 2,Surprise negated,17
Horror,The First Purge,Surprise negated,12
Horror,The Nun,Surprise negated,6
Horror,The Purge Election Year,Surprise negated,14
Horror,The Visit,Surprise negated,9
Action,Aquaman,Trust,205
Action,Avengers Age of Ultron,Trust,291
Action,Avengers Endgame,Trust,275
Action,Avengers Infinity War,Trust,244
Action,Batman v Superman Dawn of Justice,Trust,302
Action,Black Panther,Trust,245
Action,Captain America Civil War,Trust,250
Action,Captain Marvel,Trust,202
Action,Deadpool,Trust,224
Action,Deadpool 2,Trust,240
Action,Doctor Strange,Trust,199
Action,Furious Seven,Trust,204
Action,Guardians of the Galaxy Vol 2,Trust,198
Action,Jurassic World,Trust,201
Action,Jurassic World Fallen Kingdom,Trust,209
Action,Spider-Man Far from Home,Trust,303
Action,Spider-Man Homecoming,Trust,344
Action,Suicide Squad,Trust,212
Action,Thor Ragnarok,Trust,269
Action,Wonder Woman,Trust,286
Drama,A Star is Born,Trust,361
Drama,Arrival,Trust,186
Drama,Bohemian Rhapsody,Trust,264
Drama,Cinderella,Trust,290
Drama,Creed,Trust,311
Drama,Creed II,Trust,156
Drama,Downton Abbey,Trust,358
Drama,Fifty Shades Darker,Trust,198
Drama,Fifty Shades Freed,Trust,177
Drama,Fifty Shades of Grey,Trust,176
Drama,Ford v Ferrari,Trust,286
Drama,Hidden Figures,Trust,427
Drama,Hustlers,Trust,304
Drama,Knives Out,Trust,353
Drama,Little Women,Trust,378
Drama,Murder On The Orient Express,Trust,345
Drama,Straight Outta Compton,Trust,487
Drama,Sully,Trust,210
Drama,The Mule,Trust,255
Drama,Wonder,Trust,240
Horror,A Quiet Place,Trust,18
Horror,Alien Covenant,Trust,208
Horror,Annabelle 2 Creation,Trust,112
Horror,Annabelle Comes Home,Trust,98
Horror,Dont Breathe,Trust,64
Horror,Escape Room,Trust,165
Horror,Get Out,Trust,150
Horror,Goosebumps,Trust,172
Horror,Halloween,Trust,222
Horror,Insidious the Last Key,Trust,87
Horror,It,Trust,94
Horror,It Chapter Two,Trust,202
Horror,Lights Out,Trust,84
Horror,Scary Stories to Tell in the Dark,Trust,102
Horror,Split,Trust,135
Horror,The Conjuring 2,Trust,179
Horror,The First Purge,Trust,175
Horror,The Nun,Trust,199
Horror,The Purge Election Year,Trust,214
Horror,The Visit,Trust,158
Action,Aquaman,Trust negated,17
Action,Avengers Age of Ultron,Trust negated,34
Action,Avengers Endgame,Trust negated,15
Action,Avengers Infinity War,Trust negated,21
Action,Batman v Superman Dawn of Justice,Trust negated,30
Action,Black Panther,Trust negated,28
Action,Captain America Civil War,Trust negated,30
Action,Captain Marvel,Trust negated,19
Action,Deadpool,Trust negated,22
Action,Deadpool 2,Trust negated,32
Action,Doctor Strange,Trust negated,18
Action,Furious Seven,Trust negated,7
Action,Guardians of the Galaxy Vol 2,Trust negated,20
Action,Jurassic World,Trust negated,16
Action,Jurassic World Fallen Kingdom,Trust negated,8
Action,Spider-Man Far from Home,Trust negated,30
Action,Spider-Man Homecoming,Trust negated,23
Action,Suicide Squad,Trust negated,24
Action,Thor Ragnarok,Trust negated,16
Action,Wonder Woman,Trust negated,35
Drama,A Star is Born,Trust negated,36
Drama,Arrival,Trust negated,12
Drama,Bohemian Rhapsody,Trust negated,21
Drama,Cinderella,Trust negated,26
Drama,Creed,Trust negated,20
Drama,Creed II,Trust negated,19
Drama,Downton Abbey,Trust negated,39
Drama,Fifty Shades Darker,Trust negated,13
Drama,Fifty Shades Freed,Trust negated,13
Drama,Fifty Shades of Grey,Trust negated,10
Drama,Ford v Ferrari,Trust negated,23
Drama,Hidden Figures,Trust negated,32
Drama,Hustlers,Trust negated,28
Drama,Knives Out,Trust negated,33
Drama,Little Women,Trust negated,68
Drama,Murder On The Orient Express,Trust negated,27
Drama,Straight Outta Compton,Trust negated,33
Drama,Sully,Trust negated,10
Drama,The Mule,Trust negated,17
Drama,Wonder,Trust negated,23
Horror,A Quiet Place,Trust negated,1
Horror,Alien Covenant,Trust negated,11
Horror,Annabelle 2 Creation,Trust negated,7
Horror,Annabelle Comes Home,Trust negated,17
Horror,Dont Breathe,Trust negated,11
Horror,Escape Room,Trust negated,9
Horror,Get Out,Trust negated,15
Horror,Goosebumps,Trust negated,24
Horror,Halloween,Trust negated,12
Horror,Insidious the Last Key,Trust negated,6
Horror,It,Trust negated,16
Horror,It Chapter Two,Trust negated,40
Horror,Lights Out,Trust negated,13
Horror,Scary Stories to Tell in the Dark,Trust negated,19
Horror,Split,Trust negated,13
Horror,The Conjuring 2,Trust negated,21
Horror,The First Purge,Trust negated,19
Horror,The Nun,Trust negated,17
Horror,The Purge Election Year,Trust negated,16
Horror,The Visit,Trust negated,17
