frame,frame_id,time,L,A,B,C,H,S,r,g,b,M3,cluster
36,image_000036,18,59.61278674,31.99503705,-8.331780865,33.06206123,345.4038626,48.50133074,191.3183532,122.6203462,159.025013,69.8337667,Cluster  2
37,image_000037,18.5,59.60909388,31.99388294,-8.3327788,33.06119587,345.401685,48.50265772,191.3055501,122.6118021,159.0168878,69.83344272,Cluster  2
38,image_000038,19,59.60752385,31.99232769,-8.33478638,33.0601969,345.3976387,48.50251391,191.2974431,122.6091916,159.0161308,69.83114892,Cluster  2
39,image_000039,19.5,59.60738149,31.99031105,-8.33336319,33.05788662,345.3991445,48.50001038,191.2948307,122.6103405,159.0132274,69.84110382,Cluster  2
40,image_000040,20,59.60509908,31.98915293,-8.334076115,33.05694563,345.3974427,48.50037485,191.286167,122.6054334,159.0083566,69.8374403,Cluster  2
41,image_000041,20.5,37.94686151,25.04247941,2.963824016,25.21724408,6.749677773,55.34738916,128.2828363,73.13997901,85.4221441,57.59335334,Cluster  3
42,image_000042,21,37.94493543,25.04110097,2.966186218,25.21615295,6.755376053,55.34767667,128.2769495,73.13629032,85.413787,57.58780529,Cluster  3
43,image_000043,21.5,37.94820005,25.02999423,2.976211925,25.20630517,6.780976759,55.32937743,128.2752344,73.1522011,85.40526819,57.61281233,Cluster  3
44,image_000044,22,37.946741,25.03359076,2.978723203,25.21017314,6.785679148,55.33674436,128.2773223,73.14565717,85.39797325,57.6114485,Cluster  3
45,image_000045,22.5,37.94672074,25.03160808,2.984801707,25.20892334,6.799930269,55.33486155,128.2773524,73.14673372,85.38824317,57.60973208,Cluster  3
46,image_000046,23,37.94621568,25.03284083,2.981795687,25.20979169,6.792814633,55.33669495,128.2763107,73.1447676,85.39184217,57.61636027,Cluster  3
47,image_000047,23.5,36.98781069,25.52400015,2.848709052,25.68246647,6.368384193,57.03431472,126.3335324,70.46994665,83.35051328,59.00470933,Cluster  3
48,image_000048,24,3.05E-04,0.001366052,4.81E-04,0.001448368,19.40982073,97.85931876,0.00522388,6.89E-10,0,0.082348353,Cluster  4
49,image_000049,24.5,3.05E-04,0.001366052,4.81E-04,0.001448368,19.40982073,97.85931876,0.00522388,6.89E-10,0,0.082348353,Cluster  4
50,image_000050,25,3.05E-04,0.001366052,4.81E-04,0.001448368,19.40982073,97.85931876,0.00522388,6.89E-10,0,0.082348353,Cluster  4
51,image_000051,25.5,3.05E-04,0.001366052,4.81E-04,0.001448368,19.40982073,97.85931876,0.00522388,6.89E-10,0,0.082348353,Cluster  4
52,image_000052,26,4.35E-05,1.95E-04,6.88E-05,2.07E-04,19.40982073,97.85931876,7.46E-04,9.84E-11,0,0.030781291,Cluster  4
53,image_000053,26.5,0,0,0,0,0,0,0,0,0,0,Cluster  4
54,image_000054,27,0,0,0,0,0,0,0,0,0,0,Cluster  4
55,image_000055,27.5,0,0,0,0,0,0,0,0,0,0,Cluster  4
56,image_000056,28,0,0,0,0,0,0,0,0,0,0,Cluster  4
57,image_000057,28.5,0,0,0,0,0,0,0,0,0,0,Cluster  4
58,image_000058,29,0,0,0,0,0,0,0,0,0,0,Cluster  4
59,image_000059,29.5,10.26044,11.03661107,-19.74030783,22.61606689,299.2091228,91.06633951,26.68003712,24.09729952,54.8393807,34.66599282,Cluster  1
60,image_000060,30,11.31870152,11.9002965,-20.61153847,23.80026282,300.0004553,90.30777443,29.39335531,25.78536991,58.4372853,34.95039481,Cluster  1
61,image_000061,30.5,10.853259,11.42905147,-20.01991813,23.0525547,299.7213539,90.47431049,28.3134429,25.07014044,56.56017387,34.57113961,Cluster  1
62,image_000062,31,10.0799165,10.89937012,-19.73864038,22.54795202,298.9067952,91.29287646,26.03699636,23.82268346,54.43168126,34.61800109,Cluster  1
63,image_000063,31.5,6.655533385,6.811317408,-13.67074813,15.27361677,296.4843327,91.67442493,19.63023522,18.43963639,38.76999722,25.87485854,Cluster  4
64,image_000064,32,6.63039029,6.406040077,-13.81578808,15.22870065,294.8759896,91.68670331,18.73449631,18.603364,38.9022238,20.09832042,Cluster  4
65,image_000065,32.5,6.691219085,6.822785416,-13.71768627,15.32074696,296.4444382,91.64121001,19.65346669,18.52453391,38.90637135,25.9096459,Cluster  4
66,image_000066,33,6.686302111,6.548123965,-13.99257224,15.44894749,295.0782492,91.77341404,18.85374597,18.68331107,39.25381722,20.28487186,Cluster  4
67,image_000067,33.5,10.81399396,11.3212052,-19.96170649,22.94862421,299.5595716,90.45962144,28.11202921,25.04936739,56.38974997,34.45028892,Cluster  1
68,image_000068,34,10.2240409,10.99347746,-19.69796839,22.5580684,299.1659762,91.08165573,26.57977648,24.04580768,54.6990404,34.64386414,Cluster  1
69,image_000069,34.5,10.39267978,11.65803312,-20.71449299,23.76972657,299.3706324,91.62503779,26.75521439,24.11087659,56.48992027,33.63013736,Cluster  1
70,image_000070,35,11.61497891,11.43927231,-19.93616341,22.98494064,299.8469894,89.25162564,30.12408616,26.56830692,58.15871781,38.94902651,Cluster  1
71,image_000071,35.5,11.83824706,11.63339565,-20.06705881,23.19531579,300.1019822,89.07011884,30.79009888,26.91446112,58.84825439,38.90474761,Cluster  1
72,image_000072,36,14.24050446,10.38974863,-18.10668088,20.87579192,299.8475222,82.60981921,36.34057681,32.2772578,61.51713901,36.21877519,Cluster  1
73,image_000073,36.5,14.45451217,10.79137398,-18.64294227,21.54096018,300.0641866,83.03763631,36.8675232,32.54227998,62.76948594,37.84303629,Cluster  1
74,image_000074,37,14.70193277,11.30458656,-19.31530262,22.38022578,300.3389771,83.57923993,37.49567356,32.82486338,64.29716542,39.22104467,Cluster  1
75,image_000075,37.5,15.14549281,12.16104534,-20.40860099,23.75714473,300.7897997,84.32221477,38.64031467,33.35279651,66.88795319,41.90528868,Cluster  1
76,image_000076,38,15.7687698,13.1304782,-21.61761937,25.29290068,301.2743692,84.85902577,40.23790975,34.19269911,70.07935783,45.03176685,Cluster  1
77,image_000077,38.5,16.20684725,13.94810099,-22.54478681,26.51069269,301.7444171,85.31977763,41.50221567,34.70489547,72.45027113,47.6818719,Cluster  1
78,image_000078,39,16.80161345,14.39821548,-23.01772977,27.15003462,302.0270958,85.03429308,43.0550467,35.71689571,74.53635166,49.36089475,Cluster  1
79,image_000079,39.5,16.80739568,14.25366659,-22.67781762,26.78526291,302.1505509,84.70502673,43.24190296,35.77790793,74.05432075,49.03912934,Cluster  1
80,image_000080,40,16.43195067,13.60654225,-21.58244277,25.51352027,302.2291717,84.0722468,42.61142283,35.26791377,71.58021752,46.7695393,Cluster  1
81,image_000081,40.5,16.53299897,13.18392205,-20.64555952,24.4960163,302.561643,82.88770908,43.23303096,35.62878419,70.45640476,45.81673361,Cluster  1
82,image_000082,41,16.99521679,12.35155588,-19.26305886,22.88288127,302.6681627,80.28025237,44.4508953,36.9448215,69.52055773,44.77137667,Cluster  1
83,image_000083,41.5,16.55939774,10.45805589,-16.55923981,19.58517947,302.2746219,76.36299471,43.27507231,36.86573504,64.59931707,39.40376026,Cluster  1
84,image_000084,42,16.72951074,9.710341783,-15.27868738,18.103285,302.4379187,73.44234647,43.74886413,37.52141098,63.14175853,39.01303923,Cluster  1
85,image_000085,42.5,17.07761683,9.441762602,-14.80045234,17.5556308,302.5353219,71.67980974,44.5579689,38.35620935,63.24419574,39.27187942,Cluster  1
86,image_000086,43,17.19671151,9.310713065,-14.60395792,17.31949386,302.519429,70.96176185,44.80259785,38.66123498,63.2311165,39.27084958,Cluster  1
87,image_000087,43.5,17.22964667,9.306884345,-14.55871646,17.27930044,302.5893697,70.81234603,44.91347054,38.72821184,63.24111378,39.38728312,Cluster  1
88,image_000088,44,17.22528633,9.279010598,-14.51190307,17.22484459,302.5951218,70.70976941,44.90504819,38.73028252,63.16360957,39.35772271,Cluster  1
89,image_000089,44.5,17.22402783,9.273971478,-14.51057653,17.22101278,302.5833744,70.70448637,44.89545475,38.73035335,63.15875303,39.36431102,Cluster  1
90,image_000090,45,17.21498275,9.239391513,-14.46959405,17.16785981,302.5597883,70.61369823,44.86013836,38.7269165,63.07883685,39.33164381,Cluster  1
